"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1853299779574563125","Mon Nov 04 04:54:34 +0000 2024","11","BMW apaan nih? https://t.co/kf26MrRPGF","1853299779574563125","https://pbs.twimg.com/media/Gbg-UtoaUAAtHMP.jpg","","in","Indonesia","6","5","1","https://x.com/Aerio_Ina/status/1853299779574563125","1833001838020636672","Aerio_Ina"
"1852897982804578439","Mon Nov 04 04:52:01 +0000 2024","0","@emmawhatsen mjb banget nih gua justru tau blackpink duluan dibanding bities gua baru tau dan baru denger bities pas thn 2020 sedangkan blackpink udah dari thn 2017","1853299136667513104","","emmawhatsen","in","","0","0","0","https://x.com/canyonnmoony/status/1853299136667513104","2506883690","canyonnmoony"
"1853124945515368695","Mon Nov 04 04:50:45 +0000 2024","5","@spressoid @ertigaid @wagonrid @SelebtwitMobil Tetangga sebelah beda RT barusan ganti XL7 dr espander katanya lbh enak buat tarik2an sama lbh murah biaya perawatan dr pd espan","1853298817623642309","","spressoid","in","Indonesia","0","1","2","https://x.com/Aerio_Ina/status/1853298817623642309","1833001838020636672","Aerio_Ina"
"1853298570855956625","Mon Nov 04 04:49:46 +0000 2024","101","Oooohh ni ke Labubu Lisa Blackpink tu⁉️ Patut viral https://t.co/ZhvC0PSnh0","1853298570855956625","https://pbs.twimg.com/media/Gbg9Oo7acAA5Dmp.jpg","","in","","0","1","99","https://x.com/shopaholic_52/status/1853298570855956625","1691881571803119616","shopaholic_52"
"1853283355741352170","Mon Nov 04 03:49:19 +0000 2024","0","Blackpink aja baru debut di hujat ga ada habis nya dari fans seniornya (gak hanya fans 2ne1) PANSOS KE SENIOR SELABELNYA AJA KAGA LAH INI DITUDUH PANSOS KE BATUES KAN LAWAK ANJ WKWKWKW","1853283355741352170","","","in","","0","0","0","https://x.com/galeechloe/status/1853283355741352170","1378351887066394626","galeechloe"
"1814249566402957441","Mon Nov 04 03:47:44 +0000 2024","0","@alndftn mau dong kak udah biasa war tiket juga aku bruno justin bieber twice blackpink","1853282958276432381","","alndftn","in","","0","1","0","https://x.com/yucabs/status/1853282958276432381","1845556404742148096","yucabs"
"1853282549159821553","Mon Nov 04 03:46:06 +0000 2024","0","COY BLACKPINK DEBUT UDAH PAK TERKENAL BUKAN KARENA PANSOS YA BRUH","1853282549159821553","","","in","Ahyeon ♡","0","0","0","https://x.com/jennbyjane/status/1853282549159821553","1471991984747286529","jennbyjane"
"1853282042181751030","Mon Nov 04 03:44:05 +0000 2024","0","gua akuin bts keren bisa ngegedein bighit tapi jangan nyenggol orang dong. blackpink gede karena agensinya dari awal udah big 3 wkwkwkwk sama kayak babymonster skrg. Agensi-agensi tsb punya alasan kenapa disebut big 3 sblm adanya kuning :v","1853282042181751030","","","in","Jakarta Pusat, DKI Jakarta","0","1","0","https://x.com/jihoonsgifie/status/1853282042181751030","1781002023422533632","jihoonsgifie"
"1853280222684319781","Mon Nov 04 03:36:52 +0000 2024","0","tapi betul la mat. muka ganas dengaq blackpink takpa jangan muka kopiah tapi tengok blues clues","1853280222684319781","","","in","","0","0","0","https://x.com/_aidielfahmie/status/1853280222684319781","246360524","_aidielfahmie"
"1853277661164122194","Mon Nov 04 03:33:18 +0000 2024","0","@jaengaeeo Iya sejauh ini yg gue liat yg konsisten cuma ssm update juga konsisten YG udah gajelas cuma update blackpink doang","1853279327418478685","","jaengaeeo","in","","0","1","0","https://x.com/purlskysh/status/1853279327418478685","1765551153276997632","purlskysh"
